stock_id,stock_name,stock_price
600461,洪城水业,5.50
600462,*ST九有,4.54
600463,空港股份,6.00
600466,蓝光发展,10.25
600467,好当家,7.00
600468,百利电气,6.60
600469,风神股份,4.30
600470,六国化工,4.20
600475,华光股份,4.92
600476,湘邮科技,5.18
600477,杭萧钢构,11.24
600478,科力远,4.93
600479,千金药业,23.05
600480,凌云股份,3.48
600481,双良节能,7.24
600482,中国动力,5.72
600483,福能股份,4.40
600485,*ST信威,10.21
600486,扬农化工,6.75
600487,亨通光电,11.20
600488,天药股份,11.25
600489,中金黄金,4.05
600490,鹏欣资源,7.00
600491,龙元建设,17.08
600493,凤竹纺织,5.25
600495,晋西车轴,6.39
600496,精工钢构,3.61
600497,驰宏锌锗,5.72
600498,烽火通信,21.00
600499,科达洁能,14.20
600500,中化国际,8.00
600501,航天晨光,8.00
600502,安徽建工,5.68
600503,华丽家族,8.68
600505,西昌电力,4.36
600506,香梨股份,4.94
600507,方大特钢,6.50
600508,上海能源,9.00
600509,天富能源,7.00
600510,黑牡丹,14.49
600511,国药股份,5.00
600512,腾达建设,5.00
600513,联环药业,7.88
600515,海航基础,4.60
600516,方大炭素,6.06
600517,置信电气,6.30
600518,ST康美,12.57
600519,贵州茅台,31.39
600520,文一科技,6.80
600521,华海药业,15.55
600522,中天科技,5.40
600523,贵航股份,4.93
600525,长园集团,7.60
600526,*ST菲达,7.20
600527,江南高纤,5.52
600528,中铁工业,9.50
600529,山东药玻,12.18
600530,交大昂立,13.77
600531,豫光金铅,7.34
600532,宏达矿业,6.26
600533,栖霞建设,8.30
600535,天士力,14.70
600536,中国软件,11.10
600537,亿晶光电,6.00
600538,国发股份,6.69
600539,ST狮头,6.98
600540,新赛股份,6.67
600543,莫高股份,5.68
600545,卓郎智能,5.96
600546,山煤国际,10.51
600547,山东黄金,4.78
600548,深高速,3.66
600549,厦门钨业,11.60
600550,保变电气,9.10
600551,时代出版,4.00
600552,凯盛科技,5.60
600555,海航创新,16.40
600556,ST慧球,9.60
600557,康缘药业,7.00
600558,大西洋,7.50
600559,老白干酒,4.36
600560,金自天正,9.00
600561,江西长运,4.78
600562,国睿科技,7.20
600563,法拉电子,8.04
600565,迪马股份,15.80
600566,济川药业,7.80
600567,山鹰纸业,3.06
600568,中珠医疗,9.70
600569,安阳钢铁,6.80
600570,恒生电子,15.53
600571,信雅达,13.87
600572,康恩贝,8.25
600573,惠泉啤酒,7.44
600575,淮河能源,7.08
600576,祥源文化,6.28
600577,精达股份,9.90
600578,京能电力,5.00
600579,克劳斯,5.00
600580,卧龙电驱,8.28
600581,八一钢铁,7.38
600582,天地科技,12.48
600583,海油工程,9.60
600584,长电科技,7.19
600585,海螺水泥,4.10
600586,金晶科技,9.58
600587,新华医疗,9.20
600588,用友网络,36.68
600589,广东榕泰,9.90
600590,泰豪科技,4.76
600592,龙溪股份,6.00
600593,大连圣亚,7.71
600594,益佰制药,14.40
600595,*ST中孚,8.30
600596,新安股份,7.30
600597,光明乳业,6.50
600598,北大荒,5.38
600599,熊猫金控,10.00
600600,青岛啤酒,6.38
600601,方正科技,50.00
600602,云赛智联,102.00
600603,广汇物流,10.00
600604,市北高新,38.00
600605,汇通能源,24.00
600606,绿地控股,35.00
600608,ST沪科,28.00
600609,金杯汽车,100.00
600610,*ST毅达,38.00
600611,大众交通,49.00
600612,老凤祥,40.00
600613,神奇制药,72.00
600614,*ST鹏起,35.00
600615,丰华股份,55.00
600616,金枫酒业,58.00
600617,国新能源,55.80
600618,氯碱化工,54.00
600619,海立股份,48.00
600620,天宸股份,50.00
600621,华鑫股份,42.00
600622,光大嘉宝,50.00
600623,华谊集团,68.00
600624,复旦复华,52.00
600626,申达股份,30.00
600628,新世界,88.00
600629,华建集团,22.00
600630,龙头股份,38.00
600633,浙数文化,56.60
600634,*ST富控,40.00
600635,大众公用,35.00
600636,三爱富,34.00
600637,东方明珠,48.00
600638,新黄浦,60.80
600639,浦东金桥,25.00
600640,号百控股,51.80
600641,万业企业,12.00
600642,申能股份,28.00
600643,爱建集团,70.00
600644,乐山电力,1.00
600645,中源协和,50.00
600647,同达创业,32.80
600648,外高桥,28.00
600649,城投控股,30.00
600650,锦江投资,52.00
600651,飞乐音响,7.00
600652,*ST游久,50.00
600653,申华控股,15.00
600654,*ST中安,100.00
600655,豫园股份,80.00
600657,信达地产,1.50
600658,电子城,2.00
600660,福耀玻璃,1.50
600661,昂立教育,55.80
600662,强生控股,28.50
600663,陆家嘴,28.00
600664,哈药股份,50.00
600665,天地源,28.00
600666,*ST瑞德,1.00
600667,太极实业,3.60
600668,尖峰集团,2.80
600671,天目药业,1.00
600673,东阳光,3.80
600674,川投能源,1.00
600675,中华企业,6.50
600676,交运股份,4.00
600677,航天通信,1.50
600678,四川金顶,200.00
600679,上海凤凰,6.00
600681,百川能源,4.00
600682,南京新百,4.80
600683,京投发展,6.50
600684,珠江实业,6.95
600685,中船防务,5.23
600686,金龙汽车,1.80
600687,*ST刚泰,1.50
600688,上海石化,3.00
600689,上海三毛,4.00
600690,海尔智家,7.38
600691,阳煤化工,3.50
600692,亚通股份,2.80
600693,东百集团,2.50
600694,大商股份,6.20
600695,绿庭投资,4.00
600696,ST岩石,6.00
600697,欧亚集团,4.20
600698,*ST天雁,6.68
600699,均胜电子,3.20
600701,*ST工新,4.50
600702,舍得酒业,7.28
600703,三安光电,7.58
600704,物产中大,6.48
600705,中航资本,3.50
600706,曲江文旅,1.50
600707,彩虹股份,1.50
600708,光明地产,5.80
600710,苏美达,4.58
600711,盛屯矿业,1.70
600712,南宁百货,6.20
600713,南京医药,5.98
600714,金瑞矿业,4.85
600715,文投控股,5.06
600716,凤凰股份,6.60
600717,天津港,1.40
600718,东软集团,6.98
600719,大连热电,6.95
600720,祁连山,4.00
600721,*ST百花,4.20
600722,金牛化工,9.18
