stock_id,area_name
601231,上海
601233,浙江
601236,云南
601238,广东
601258,河北
601288,北京
601298,山东
601311,湖北
601318,广东
601319,北京
601326,河北
601328,上海
601330,广东
601333,广东
601336,北京
601339,浙江
601360,天津
601366,山东
601368,广西
601369,陕西
601375,河南
601377,福建
601388,江苏
601390,北京
601398,北京
601500,江苏
601515,广东
601518,吉林
601519,上海
601555,江苏
601558,北京
601566,福建
601567,浙江
601577,湖南
601579,浙江
601588,北京
601595,上海
601598,北京
601599,江苏
601600,北京
601601,上海
601606,安徽
601607,上海
601608,河南
601611,上海
601615,广东
601616,上海
601618,北京
601619,宁夏
601628,北京
601633,河北
601636,湖南
601666,河南
601668,北京
601669,北京
601677,河南
601678,山东
601688,江苏
601689,浙江
601698,北京
601699,山西
601700,江苏
601717,河南
601718,北京
601727,上海
601766,北京
601777,重庆
601788,上海
601789,浙江
601798,甘肃
601799,江苏
601800,北京
601801,安徽
601808,天津
601811,四川
601818,北京
601828,上海
601838,四川
601857,北京
601858,北京
601860,江苏
601865,浙江
601866,上海
601869,湖北
601872,上海
601877,浙江
601878,浙江
601880,辽宁
601881,北京
601882,浙江
601886,北京
601888,北京
601890,江苏
601898,北京
601899,福建
601900,广东
601901,湖南
601908,北京
601918,安徽
601919,天津
601928,江苏
601929,吉林
601933,福建
601939,北京
601949,北京
601952,江苏
601958,陕西
601965,重庆
601966,山东
601968,上海
601969,海南
601975,江苏
601985,北京
601988,北京
601989,北京
601990,江苏
601991,北京
601992,北京
601996,广西
601997,贵州
601998,北京
601999,辽宁
603000,北京
603001,浙江
603002,广东
603003,上海
603005,江苏
603006,上海
603007,江苏
603008,浙江
603009,上海
603010,浙江
603011,安徽
603012,上海
603013,江苏
603015,浙江
603016,江苏
603017,江苏
603018,江苏
603019,天津
603020,上海
603021,山东
603022,上海
603023,黑龙江
603025,北京
603026,山东
603027,四川
603028,江苏
603029,山东
603030,上海
603031,安徽
603032,新疆
603033,浙江
603035,江苏
603036,江苏
603037,上海
603038,广东
603039,上海
603040,浙江
603041,江苏
603042,江苏
603043,广东
603045,浙江
603050,河北
603055,浙江
603056,上海
603058,贵州
603059,江苏
603060,北京
603063,广东
603066,江苏
603067,湖北
603068,上海
603069,海南
603076,浙江
603077,四川
603078,江苏
603079,浙江
603080,新疆
603081,浙江
603083,上海
603085,浙江
603086,山东
603088,浙江
603089,浙江
603090,江苏
603093,浙江
603096,天津
603098,北京
603099,吉林
603100,重庆
603101,新疆
603103,浙江
603105,浙江
603106,天津
603108,上海
603110,浙江
603111,江苏
603113,山东
603115,江苏
603116,浙江
603117,江苏
603118,广东
603121,上海
603123,北京
603126,天津
603127,北京
603128,上海
603129,浙江
603131,上海
603133,江苏
603136,江苏
603138,北京
603139,陕西
603156,河北
603157,上海
603158,江苏
603159,上海
603160,广东
603161,江苏
603165,浙江
603166,广西
603167,山东
603168,浙江
603169,甘肃
603177,浙江
603178,浙江
603179,江苏
603180,福建
603181,浙江
603183,江苏
603185,江苏
603186,浙江
603187,山东
603188,江苏
603189,上海
603192,上海
603196,上海
603197,上海
603198,安徽
603199,安徽
603200,上海
603203,江苏
603208,浙江
603214,上海
603217,山东
603218,浙江
603220,湖北
603222,浙江
603223,山东
603225,浙江
603226,上海
603227,新疆
603228,广东
603229,浙江
603232,上海
603233,广东
603236,上海
603238,浙江
603239,浙江
603256,上海
603258,浙江
603259,江苏
603260,浙江
603266,浙江
603267,北京
603268,广东
603269,江苏
603277,浙江
603278,山东
603279,山东
603283,江苏
603286,江苏
603288,广东
603289,浙江
603297,浙江
603298,浙江
603299,江苏
603300,浙江
603301,浙江
603303,浙江
603305,浙江
603306,福建
603308,安徽
603309,广东
603311,浙江
603313,江苏
603315,辽宁
603316,浙江
603317,四川
603318,辽宁
603319,湖南
603320,浙江
603321,浙江
603322,广东
603323,江苏
603326,江苏
603327,四川
603328,广东
603329,上海
603330,上海
603331,浙江
603332,江苏
603333,四川
603335,广东
603336,广东
603337,浙江
603338,浙江
603339,江苏
603345,福建
603348,广东
603351,江苏
603355,江苏
603356,安徽
603357,安徽
603358,江苏
603359,江苏
603360,辽宁
603363,福建
603365,上海
603366,江苏
603367,山东
603368,广西
603369,江苏
603377,北京
603378,上海
603379,浙江
603380,江苏
603383,福建
603385,河北
603386,广东
603387,江苏
603388,浙江
603389,江苏
603393,新疆
603396,辽宁
603398,广东
603399,辽宁
603416,江苏
603421,山东
603429,安徽
603444,福建
603456,浙江
603458,贵州
603466,上海
603477,四川
603486,江苏
603488,江苏
603489,江苏
603496,上海
603499,上海
603500,浙江
603501,上海
603505,浙江
603506,浙江
603507,江苏
603508,河南
603515,上海
603516,北京
603517,湖南
603518,江苏
603519,江苏
603520,浙江
603527,安徽
603528,江苏
603530,江苏
603533,北京
603535,广东
603536,山东
603538,浙江
603555,福建
603556,浙江
603557,浙江
603558,浙江
603559,吉林
603566,河南
603567,黑龙江
603568,浙江
603569,北京
603577,山东
603578,浙江
603579,上海
603580,上海
603583,浙江
603585,江苏
603586,山东
603587,上海
603588,北京
603589,安徽
603590,北京
603595,浙江
603596,安徽
603598,北京
603599,安徽
603600,浙江
603601,重庆
603602,浙江
603603,北京
603605,浙江
603606,浙江
603607,浙江
603608,广东
603609,辽宁
603610,浙江
603611,浙江
603612,山东
603613,北京
603615,福建
603616,北京
603617,浙江
603618,浙江
603619,上海
603626,江苏
603628,福建
603629,江苏
603630,广东
603633,上海
603636,福建
603637,浙江
603638,山东
603639,山东
603648,上海
603650,上海
603655,江苏
603656,安徽
603657,浙江
603658,河南
603659,上海
603660,江苏
603661,浙江
603662,浙江
603663,福建
603665,浙江
603666,江苏
603667,浙江
603668,福建
603669,西藏
603676,西藏
603677,浙江
603678,福建
603679,四川
603680,江苏
603681,上海
603683,上海
603685,浙江
603686,福建
603687,浙江
603688,江苏
603689,安徽
603690,上海
603693,江苏
603696,福建
603697,重庆
603698,北京
603699,江苏
603700,浙江
603701,浙江
603703,浙江
603706,新疆
603707,江苏
603708,山东
603709,浙江
603711,浙江
603712,天津
603713,上海
603716,湖北
603717,重庆
603718,上海
603721,湖南
603722,江苏
603725,广东
603726,浙江
603727,天津
603728,上海
603729,上海
603730,上海
603733,浙江
603737,福建
603738,湖北
603739,山东
603755,山东
603757,浙江
603758,重庆
603766,重庆
603767,浙江
603768,安徽
603773,江西
603776,江苏
603777,上海
603778,北京
603779,山东
603786,上海
603787,江苏
603788,浙江
603789,浙江
603790,上海
603797,广东
603798,山东
603799,浙江
603800,江苏
603801,安徽
603803,北京
603806,浙江
603808,广东
603809,四川
603810,江苏
603811,浙江
603813,广东
603815,安徽
603816,浙江
603817,福建
603818,北京
603819,江苏
603822,浙江
603823,浙江
603825,北京
603826,福建
603828,江苏
603829,江苏
603833,广东
603838,广东
603839,浙江
603843,青海
603848,广东
603855,上海
603856,山东
603858,山东
603859,北京
603860,北京
603861,广东
603863,广东
603866,辽宁
603867,浙江
603868,上海
603869,广西
603871,北京
603876,江苏
603877,浙江
603878,江苏
603879,福建
603880,江苏
603881,上海
603882,广东
603883,湖南
603885,上海
603886,上海
603887,上海
603888,北京
603889,浙江
603890,江苏
603895,上海
603896,浙江
603897,浙江
603898,广东
603899,上海
603900,江苏
603901,浙江
603903,北京
603906,江苏
603908,浙江
603909,福建
603912,江苏
603915,江苏
603916,江苏
603917,浙江
603918,上海
603919,甘肃
603920,广东
603922,江苏
603926,浙江
603927,北京
603928,江苏
603929,江苏
603933,福建
603936,广东
603937,江苏
603938,河北
603939,湖南
603955,江苏
603956,上海
603958,江苏
603959,湖南
603960,上海
603963,云南
603966,江苏
603967,山东
603968,江苏
603969,天津
603970,北京
603976,重庆
603977,江西
603978,广东
603979,北京
603980,浙江
603982,江苏
603983,广东
603985,江苏
603986,北京
603987,上海
603988,江苏
603989,湖南
603990,江苏
603991,上海
603992,福建
603993,河南
603996,浙江
603997,浙江
603998,湖南
603999,甘肃
000001,广东
000002,广东
000004,广东
000005,广东
000006,广东
000007,广东
000008,北京
000009,广东
000010,广东
000011,广东
000012,广东
000014,广东
000016,广东
000017,广东
000018,广东
000019,广东
000020,广东
000021,广东
000023,广东
000025,广东
000026,广东
000027,广东
000028,广东
000029,广东
000030,吉林
000031,广东
000032,广东
000034,广东
000035,江苏
000036,广东
000037,广东
000038,广东
000039,广东
000040,广东
000042,广东
000043,广东
000045,广东
000046,北京
000048,广东
000049,广东
000050,广东
000055,广东
000056,广东
000058,广东
000059,辽宁
000060,广东
000061,广东
000062,广东
000063,广东
000065,北京
000066,广东
000068,广东
000069,广东
000070,广东
000078,广东
000088,广东
000089,广东
000090,广东
000096,广东
000099,广东
000100,广东
000150,广东
000151,北京
000153,安徽
000155,四川
000156,浙江
000157,湖南
000158,河北
000159,新疆
000166,新疆
000301,江苏
000333,广东
000338,山东
000400,河南
000401,河北
000402,北京
000403,山西
000404,江西
000407,山东
000408,青海
000409,山东
000410,辽宁
000411,浙江
000413,河北
000415,新疆
000416,山东
000417,安徽
000419,湖南
000420,吉林
000421,江苏
000422,湖北
000423,山东
000425,江苏
000426,内蒙古
000428,湖南
000429,广东
000430,湖南
000488,山东
000498,山东
000501,湖北
000502,广东
000503,海南
000504,湖南
000505,海南
000506,山东
000507,广东
000509,四川
000510,四川
000513,广东
000514,重庆
000516,陕西
000517,浙江
000518,江苏
000519,湖南
000520,湖北
000521,安徽
000523,广东
000524,广东
000525,江苏
000526,福建
000528,广西
000529,广东
000530,辽宁
000531,广东
000532,广东
000533,广东
000534,广东
000536,福建
000537,天津
000538,云南
000539,广东
000540,贵州
000541,广东
000543,安徽
000544,河南
000545,吉林
000546,吉林
000547,福建
000548,湖南
000550,江西
000551,江苏
000552,甘肃
000553,湖北
000554,山东
000555,广东
000557,宁夏
000558,浙江
000559,浙江
000560,云南
000561,陕西
000563,陕西
000564,陕西
000565,重庆
000566,海南
000567,海南
000568,四川
000570,江苏
000571,海南
000572,海南
000573,广东
000576,广东
000581,江苏
000582,广西
000584,江苏
000585,海南
000586,四川
000587,黑龙江
000589,贵州
000590,湖南
000591,重庆
000592,福建
000593,四川
000595,宁夏
000596,安徽
000597,辽宁
000598,四川
000599,山东
000600,河北
000601,广东
000603,北京
000605,北京
000606,青海
000607,浙江
000608,广西
000609,北京
000610,陕西
000611,内蒙古
000612,河南
000613,海南
000615,湖北
000616,辽宁
000617,新疆
000619,安徽
000620,北京
000622,湖南
000623,吉林
000625,重庆
000626,江苏
000627,湖北
000628,四川
000629,四川
000630,安徽
000631,吉林
000632,福建
000633,新疆
000635,宁夏
000636,广东
000637,广东
000638,吉林
000639,山东
000650,江西
000651,广东
000652,天津
000655,山东
000656,重庆
000657,海南
000659,广东
000661,吉林
000662,广西
000663,福建
000665,湖北
000666,北京
000667,云南
000668,上海
000669,吉林
000670,湖北
000671,福建
000672,甘肃
000673,山西
000676,河南
000677,山东
000678,湖北
000679,辽宁
000680,山东
000681,江苏
000682,山东
000683,内蒙古
000685,广东
000686,吉林
000687,河北
000688,重庆
000690,广东
000691,甘肃
000692,辽宁
000695,天津
000697,陕西
000698,辽宁
000700,江苏
000701,福建
000702,湖南
000703,广西
000705,浙江
000707,湖北
000708,湖北
000709,河北
000710,四川
000711,黑龙江
000712,广东
000713,安徽
000715,辽宁
000716,广西
000717,广东
000718,吉林
000719,河南
000720,山东
000721,陕西
000722,湖南
000723,山西
000725,北京
000726,山东
000727,江苏
000728,安徽
000729,北京
000731,四川
000732,福建
000733,贵州
000735,海南
000736,重庆
000737,山西
000738,江苏
000739,浙江
000750,广西
000751,辽宁
000752,西藏
000753,福建
000755,山西
000756,山东
000757,四川
000758,北京
000759,湖北
000760,湖北
000761,辽宁
000762,西藏
000766,吉林
000767,山西
000768,陕西
000776,广东
000777,江苏
000778,河北
000779,甘肃
000780,内蒙古
000782,广东
000783,湖北
000785,湖北
000786,北京
000788,重庆
000789,江西
000790,四川
000791,甘肃
000792,青海
000793,海南
000795,山西
000796,陕西
000797,福建
000798,北京
000799,湖南
000800,吉林
000801,四川
000802,北京
000803,四川
000806,广西
000807,云南
000809,辽宁
000810,四川
000811,山东
000812,陕西
000813,新疆
000815,宁夏
000816,江苏
000818,辽宁
000819,湖南
000820,江西
000821,湖北
000822,山东
000823,广东
000825,山西
000826,湖北
000828,广东
000829,江西
000830,山东
000831,山西
000833,广西
000835,四川
000836,天津
000837,陕西
000838,重庆
000839,北京
000848,河北
000850,安徽
000851,贵州
000852,湖北
000856,河北
000858,四川
000859,安徽
000860,北京
000861,广东
000862,宁夏
000863,上海
000868,安徽
000869,山东
000875,吉林
000876,四川
000877,新疆
000878,云南
000880,山东
000881,辽宁
000882,北京
000883,湖北
000885,河南
000886,海南
000887,安徽
000888,四川
000889,河北
000890,江苏
000892,重庆
000893,广东
000895,河南
000897,天津
000898,辽宁
000899,江西
000900,湖南
000901,黑龙江
000902,湖北
000903,云南
000905,福建
000906,浙江
000908,湖南
000909,浙江
000910,江苏
000911,广西
000912,四川
000913,浙江
000915,山东
000917,湖南
000918,浙江
000919,江苏
000920,贵州
000921,广东
000922,黑龙江
000923,河北
000925,浙江
000926,湖北
000927,天津
000928,吉林
000929,甘肃
000930,安徽
000931,北京
000932,湖南
000933,河南
000935,四川
000936,江苏
000937,河北
000938,北京
000939,湖北
000948,云南
000949,河南
000950,重庆
000951,山东
000952,湖北
000953,广西
000955,海南
000957,山东
000958,河北
000959,北京
000960,云南
000961,江苏
000962,宁夏
000963,浙江
000965,天津
000966,湖北
000967,浙江
000968,山西
000969,北京
000970,北京
000971,湖北
000972,新疆
000973,广东
000975,内蒙古
000976,广东
000977,山东
000978,广西
000980,浙江
000981,甘肃
000982,宁夏
000983,山西
000985,黑龙江
000987,广东
000988,湖北
000989,湖南
000990,江西
000993,福建
000995,甘肃
000996,北京
000997,福建
