stock_id,share_holder_company
600055,北京万东医疗科技股份有限公司-第一期员工持股计划
600055,中国银行股份有限公司-工银瑞信医疗保健行业股票型证券投资基金
600055,中信信托有限责任公司-中信信托锐进43期高毅晓峰投资集合资金信托计划
600055,上海朱雀乙亥投资中心(有限合伙)
600055,束美珍
600055,上海高毅资产管理合伙企业(有限合伙)-高毅晓峰2号致信基金
600056,中国通用技术(集团)控股有限责任公司
600056,通用天方药业集团有限公司
600056,上海汽车集团股权投资有限公司
600056,中央汇金资产管理有限责任公司
600056,通用技术集团医药控股有限公司
600056,华夏人寿保险股份有限公司-万能保险产品
600056,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
600056,香港中央结算有限公司
600056,张志林
600056,彭亮
600057,厦门象屿集团有限公司
600057,云南国际信托有限公司-聚利33号单一资金信托
600057,全国社保基金五零三组合
600057,厦门海翼集团有限公司
600057,全国社保基金一零四组合
600057,广东粤财信托有限公司-粤财信托·粤中3号集合资金信托计划
600057,厦门象屿股份有限公司-第一期员工持股计划
600057,象屿地产集团有限公司
600057,厦门国际信托有限公司
600057,蒲曙光
600058,中国五矿股份有限公司
600058,中央汇金资产管理有限责任公司
600058,中国证券金融股份有限公司
600058,许军军
600058,广发基金-农业银行-广发中证金融资产管理计划
600058,华夏基金-农业银行-华夏中证金融资产管理计划
600058,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
600058,信泰人寿保险股份有限公司-万能保险产品
600058,嘉实基金-农业银行-嘉实中证金融资产管理计划
600058,大成基金-农业银行-大成中证金融资产管理计划
600059,中国绍兴黄酒集团有限公司
600059,全国社保基金一零三组合
600059,中央汇金资产管理有限责任公司
600059,农银人寿保险股份有限公司-传统保险产品
600059,卞策
600059,中国农业银行股份有限公司-富兰克林国海弹性市值混合型证券投资基金
600059,中国银行股份有限公司-富兰克林国海中小盘股票型证券投资基金
600059,吴玉芳
600059,邓守宽
600059,戴大亮
600060,海信集团有限公司
600060,青岛海信电子产业控股股份有限公司
600060,中国证券金融股份有限公司
600060,兴业银行股份有限公司-兴全趋势投资混合型证券投资基金
600060,中央汇金资产管理有限责任公司
600060,香港中央结算有限公司
600060,兴业银行股份有限公司-兴全新视野灵活配置定期开放混合型发起式证券投资基金
600060,中国工商银行股份有限公司-东方红新动力灵活配置混合型证券投资基金
600060,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
600060,中国工商银行股份有限公司-东方红中国优势灵活配置混合型证券投资基金
600061,国家开发投资集团有限公司
600061,中国证券投资者保护基金有限责任公司
600061,深圳市远致投资有限公司
600061,中国国投国际贸易有限公司
600061,中国证券金融股份有限公司
600061,青岛国信资本投资有限公司
600061,中铁二十二局集团有限公司
600061,国新央企运营投资基金管理(广州)有限公司-国新央企运营(广州)投资基金(有限合伙)
600061,广发基金-浦发银行-广东粤财信托-粤财信托·粤盛2号单一资金信托计划
600061,厦门恒兴集团有限公司
600062,北京医药集团有限责任公司
600062,香港中央结算有限公司
600062,中央汇金资产管理有限责任公司
600062,中国人寿保险股份有限公司-传统-普通保险产品-005L-CT001沪
600062,招商银行股份有限公司-中欧恒利三年定期开放混合型证券投资基金
600062,招商银行股份有限公司-博时中证央企结构调整交易型开放式指数证券投资基金
600062,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
600062,易方达基金-工商银行-易方达基金臻选2号资产管理计划
600062,中国农业银行股份有限公司-富国中证500指数增强型证券投资基金(LOF)
600062,王开平
600063,安徽皖维集团有限责任公司
600063,安徽中安资本管理有限公司-中安定增利1号私募投资基金
600063,鹏华基金-招商银行-中山证券有限责任公司
600063,易方达基金-工商银行-易方达基金臻选2号资产管理计划
600063,兴业财富资产-兴业银行-合肥市创新科技风险投资有限公司
600063,郑明
600063,兴业财富资产-兴业银行-上海兴瀚资产管理有限公司
600063,易方达基金-工商银行-外贸信托-外贸信托·稳富FOF单一资金信托
600063,北信瑞丰基金-浦发银行-北京国际信托-北京信托·轻盐丰收理财2015015号集合资金信托计划
600063,鹏华基金-邮储银行-建信资本管理有限公司
600064,南京新港开发总公司
600064,中央汇金资产管理有限责任公司
600064,南京港(集团)有限公司
600064,中国证券金融股份有限公司
600064,博时基金-农业银行-博时中证金融资产管理计划
600064,中欧基金-农业银行-中欧中证金融资产管理计划
600064,工银瑞信基金-农业银行-工银瑞信中证金融资产管理计划
600064,中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金
600064,杨廷栋
600064,刘少鸾
600066,郑州宇通集团有限公司
600066,香港中央结算有限公司
600066,猛狮客车有限公司
600066,中国证券金融股份有限公司
600066,中国公路车辆机械有限公司
600066,易方达基金管理有限公司-社保基金1104组合
600066,GIC PRIVATE LIMITED
600066,全国社保基金一零九组合
600066,中央汇金资产管理有限责任公司
600066,挪威中央银行-自有资金
600067,福建丰榕投资有限公司
600067,冠城大通股份有限公司回购专用证券账户
600067,陕西省国际信托股份有限公司-陕国投·冠城大通第二期员工持股证券投资集合资金信托计划
600067,STARLEX LIMITED
600067,中央汇金资产管理有限责任公司
600067,林庄喜
600067,李晓珍
600067,冠城大通股份有限公司-第1期员工持股计划
600067,中国建银投资有限责任公司
600067,上海德骥投资管理有限公司
600068,中国葛洲坝集团有限公司
600068,中国证券金融股份有限公司
600068,中央汇金资产管理有限责任公司
600068,香港中央结算有限公司
600068,全国社保基金一零六组合
600068,全国社保基金一零七组合
600068,闫小虎
600068,招商银行股份有限公司-博时中证央企结构调整交易型开放式指数证券投资基金
600068,全国社保基金一零三组合
600068,挪威中央银行-自有资金
600069,漯河银鸽实业集团有限公司
600069,永城煤电控股集团上海有限公司
600069,漯河市发展投资有限责任公司
600069,黄毅明
600069,卓国章
600069,徐阳英
600069,吴应辉
600069,刘峰
600069,王芳
600069,谢青丽
600070,富润控股集团有限公司
600070,浙江诸暨惠风创业投资有限公司
600070,江有归
600070,浙江富润股份有限公司-第一期员工持股计划
600070,浙江富润股份有限公司回购专用证券账户
600070,付海鹏
600070,浙江盈瓯创业投资有限公司
600070,杭州维思捷朗股权投资合伙企业(有限合伙)
600070,杭州维思捷鼎股权投资合伙企业(有限合伙)
600070,严蕊雪
600071,凤凰光学控股有限公司
600071,中电海康集团有限公司
600071,"高华-汇丰-GOLDMAN,SACHS&CO.LLC"
600071,中电科投资控股有限公司
600071,徐铭
