company_name,stock_id,stock_name,industry_name,legal_person_name,chief_name,area_name,law_office_name,stock_price,share_holder,leader
江苏连云港港口股份有限公司,601008,连云港,港口水运,李春宏,李春宏,江苏,国浩律师(上海)事务所,4.98,"['连云港港口集团有限公司', '江苏连云港港口股份有限公司回购专用证券账户', '杨继耘', '陈升', '陈柏霖', '吴毓昊', '中国连云港外轮代理有限公司', '江小宝', '领航投资澳洲有限公司-领航新兴市场股指基金(交易所)', '刘国汉']","['沙晓春', '冯志', '王新文', '张伟', '王云飞', '徐卫', '曲林迟', '朱善庆', '朱向阳', '张连起', '李春宏', '毕薇薇', '顾守宇', '尚锐', '邓新', '孙明', '王云飞']"
南京银行股份有限公司,601009,南京银行,银行,胡昇荣,胡昇荣,江苏,江苏金禾律师事务所,11.00,"['法国巴黎银行', '南京紫金投资集团有限责任公司', '南京高科股份有限公司', '香港中央结算有限公司', '中国证券金融股份有限公司', '中央汇金资产管理有限责任公司', '南京市国有资产投资管理控股(集团)有限责任公司', '全国社保基金一零一组合', '南京金陵制药(集团)有限公司', '江苏省国信集团有限公司']","['郭俊', '刘爱莲', '米乐', '周文凯', '徐益民', '余宣杰', '肖斌卿', '童建', '谢满林', '沈永明', '张丁', '王华', '刘恩奇', '周文凯', '江志纯', '杨伯豪', '朱钢', '陈峥', '沈永建', '骆芝惠', '吕冬阳', '戚梦然', '周洪生', '浦宝英', '胡升荣', '陈冬华', '朱钢', '朱秋娅']"
文峰大世界连锁发展股份有限公司,601010,文峰股份,商业百货,陈松林,陈松林,江苏,北京大成(南通)律师事务所,20.00,"['江苏文峰集团有限公司', '郑素贞', '中央汇金资产管理有限责任公司', '中国证券金融股份有限公司', '汪杰', '郭伟', '徐长江', '洪军晋', '刘豪廷', '李军']","['王钺', '姚海林', '严骏', '孙一宁', '王钺', '周崇庆', '陈松林', '贾云博', '刘思培', '单美芹', '成智华', '孙一宁', '陈松林', '闵振宇', '戴振斌', '马永春', '张益君', '汤平']"
宝泰隆新材料股份有限公司,601011,宝泰隆,煤炭采选,焦云,焦云,黑龙江,黑龙江政通律师事务所,18.00,"['黑龙江宝泰隆集团有限公司', '焦云', '创金合信基金-包商银行-中建投信托-鹏华定增1号集合资金信托计划', '焦阳洋', '焦岩岩', '修长明', '东海基金-工商银行-国海证券股份有限公司', '隋熙明', '黄腾宇', '焦贵金']","['王维舟', '马庆', '焦贵金', '秦怀', '慕福君', '焦岩岩', '孙明君', '张瑾', '秦怀', '焦云', '马庆', '宋淑琴', '刘永平', '王维舟', '焦岩岩', '李飙', '李飙', '闫玉昌', '常万昌', '冯帆', '常万昌']"
隆基绿能科技股份有限公司,601012,隆基股份,材料行业,李振国,钟宝申,陕西,北京市中伦律师事务所,21.00,"['李振国', '李春安', '香港中央结算有限公司', '李喜燕', '西部信托有限公司-西部信托·陕煤-朱雀产业投资单一资金信托', '陕西煤业股份有限公司', '招商银行股份有限公司-兴全合宜灵活配置混合型证券投资基金', '陈发树', '钟宝申', '中央汇金资产管理有限责任公司']","['刘学文', '胥大鹏', '李香菊', '白忠学', '郭菊娥', '戚承军', '刘学文', '张茹敏', '刘晓东', '贺婧', '钟宝申', '李振国', '李振国', '李寿双', '王晓哲', '田高良']"
陕西黑猫焦化股份有限公司,601015,陕西黑猫,煤炭采选,李保平,李保平,陕西,北京大成律师事务所,6.15,"['陕西黄河矿业(集团)有限责任公司', '陕西省物资产业集团总公司', '长城(天津)股权投资基金管理有限责任公司-长城国泰-高端装备并购契约型私募投资基金', '李保平', '浙江广杰投资管理有限公司', '李博', '李光平', '张林兴', '吉红丽', '国华人寿保险股份有限公司-传统二号']","['范小艺', '何亿龙', '陶树生', '何晓明', '李联信', '梁社林', '刘芬燕', '梁小忠', '王彩凤', '程浪辉', '李保平', '贾茜', '范艺红', '刘芬燕', '张林兴', '张林兴', '贾西平', '于宗振', '崔丕江']"
中节能风力发电股份有限公司,601016,节能风电,输配电气,刘斌,刘斌,北京,北京市天元律师事务所,2.17,"['中国节能环保集团有限公司', '全国社会保障基金理事会', '国开金融有限责任公司', '华宝信托有限责任公司', '华安基金-兴业银行-广西铁路发展投资基金(有限合伙)', '香港中央结算有限公司', '全国社会保障基金理事会转持二户', '中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金', '中国证券金融股份有限公司', '金玉平']","['刘斌', '胡正鸣', '郭毅', '李宝山', '王利娟', '王琰', '沈坚', '刘健平', '秦海岩', '罗杰', '张治平', '姜军', '罗锦辉', '刘斌', '裴红卫', '贾锐']"
宁波舟山港股份有限公司,601018,宁波港,港口水运,毛剑宏,毛剑宏,浙江,浙江和义观达律师事务所,3.70,"['宁波舟山港集团有限公司', '招商局国际码头(宁波)有限公司', '中国证券金融股份有限公司', '宁波宁兴(集团)有限公司', '中央汇金资产管理有限责任公司', '安本标准投资管理(亚洲)有限公司-安本标准-中国A股股票基金', '香港中央结算有限公司', '博时基金-农业银行-博时中证金融资产管理计划', '易方达基金-农业银行-易方达中证金融资产管理计划', '大成基金-农业银行-大成中证金融资产管理计划']","['徐渊峰', '郑少平', '宫黎明', '蒋一鹏', '胡耀华', '蒋伟', '宫黎明', '林朝军', '陈志昂', '蒋一鹏', '张四纲', '许永斌', '吕靖', '金国平', '金星', '杨梧', '石焕挺', '毛剑宏', '陈国潘', '江涛', '陈国潘', '蔡琳琳']"
山东出版传媒股份有限公司,601019,山东出版,文化传媒,张志华,张志华,山东,北京市竞天公诚律师事务所,10.16,"['山东出版集团有限公司', '中国文化产业投资基金(有限合伙)', '山东出版投资有限公司', '中国信达资产管理股份有限公司', '全国社会保障基金理事会转持一户', '中国教育出版传媒集团有限公司', '新华出版社', '山东省文化产业投资集团有限公司', '香港中央结算有限公司', '中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金']","['韩明红', '王长春', '刘燕', '范波', '郭海涛', '钟耕深', '张志华', '王昭顺', '张军', '郭海涛', '冯洪峰', '王次忠', '张耀元', '迟云', '薛严丽', '张淼', '王乐锦', '宫杰']"
西藏华钰矿业股份有限公司,601020,华钰矿业,有色金属,刘建军,刘建军,西藏,北京德恒律师事务所,7.18,"['西藏道衡投资有限公司', '西藏博实创业投资有限公司', '海通证券资管-海通证券股份有限公司-证券行业支持民企发展系列之海通证券资管1号FOF单一资产管理计划', '青海西部资源有限公司', '谭振华', '西藏铠茂创业投资有限责任公司', '创金合信基金-工商银行-外贸信托-外贸信托·稳富FOF单一资金信托', '李继东', '朴洪英', '焦作通良资产经营有限公司']","['王艳萍', '梁遇春', '谢文政', '邢建军', '刘良坤', '徐建华', '刘鹏举', '孙艳春', '古文韬', '李永军', '邓瑞', '王庭良', '徐建华', '刘劲松', '王聪', '王瑞江', '王小飞', '刘建军']"
