stock_id,chief_name
600635,杨国平
600636,王志学
600637,王建军
600638,仇瑜峰
600639,王颖
600640,李安民
600641,朱旭东
600642,须伟泉
600643,王均金
600644,林双庆
600645,龚虹嘉
600647,刘社梅
600648,刘宏
600649,戴光铭
600650,张晓强
600651,黄金刚
600652,谢鹏
600653,李晓航
600654,吴博文
600655,徐晓亮
600657,丁晓杰
600658,王岩
600660,曹德旺
600661,周传有
600662,叶章毅
600663,李晋昭
600664,张镇平
600665,袁旺家
600666,杨鑫宏
600667,赵振元
600668,蒋晓萌
600671,赵非凡
600673,张寓帅
600674,刘体斌
600675,朱嘉骏
600676,张仁良
600677,余德海
600678,梁斐
600679,周卫中
600681,王东海
600682,翟凌云
600683,魏怡
600684,郑洪伟
600685,韩广德
600686,谢思瑜(代)
600687,徐景琪
600688,吴海君
600689,邹宁
600690,梁海山
600691,冯志武
600692,梁峻
600693,施文义
600694,牛钢
600695,龙炼
600696,陈琪
600697,曹和平
600698,黄毅
600699,王剑峰
600701,王明秀
600702,刘力
600703,林志强
600704,王挺革
600705,录大恩
600706,杨进
600707,陈忠国
600708,沈宏泽
600710,杨永清
600711,陈东
600712,黎军
600713,周建军
600714,任小坤
600715,周茂非
600716,汪维宏
600717,梁永岑
600718,刘积仁
600719,邵阳
600720,脱利成
600721,郑彩红
600722,何长海
600723,李源光
600724,王兵团
600725,罗永隆
600726,董凤亮
600727,陈树常
600728,刘伟
600729,何谦
600730,齐子鑫
600731,刘卫东
600732,李勇军
600733,徐和谊
600734,景百孚
600735,张航
600736,王星
600737,由伟
600738,洪一丹
600739,尚书志
600740,李峰
600741,陈虹
600742,张丕杰
600743,杜凤超
600744,任维
600745,张学政
600746,胡宗贵
600747,窦圣军(代)
600748,曾明
600749,赵金峰
600750,卢小青
600751,李维艰
600753,梁衍锋
600754,俞敏亮
600755,许晓曦
600756,陈东风
600757,陈义国
600758,赵光
600759,王文韬
600760,钱雪松
600761,张德进
600763,吕建明
600764,范国平
600765,姬苏春
600766,徐成义
600767,海乐
600768,陈炜
600769,董耀军
600770,昝圣达
600771,张斌
600773,朱贤麟
600774,阎志
600775,周贵祥
600776,周忠国
600777,刘珂
600778,聂如旋
600779,范祥福
600780,李国彪
600781,朱文臣
600782,夏文勇
600783,王飚
600784,刘卫国
600785,曲奎
600787,韩铁林
600789,彭欣
600790,葛梅荣
600791,周建裕
600792,彭伟
600793,易从
600794,唐勇
600795,乔保平
600796,高云跃
600797,史烈
600798,胡敏
600800,郭锴
600801,徐永模
600802,王金星
600803,王玉锁
600804,杨学平
600805,王连春
600807,刘金辉
600808,丁毅
600809,谭忠豹
600810,乔思怀
600811,孙明涛
600812,杨国占
600814,童民强
600815,张振斌
600816,邵明安
600817,曹中彦
600818,陈闪
600819,赵健
600820,张焰
600821,杨川
600822,秦青林
600823,许荣茂
600824,杨传华
600825,陈启伟
600826,曹炜
600827,叶永明
600828,高宏彪
600829,刘波
600830,邵松长
600831,王立强
600833,徐子瑛
600834,俞光耀
600835,陈嘉明
600836,沈伟荣
600837,周杰
600838,许骍
600839,赵勇
600841,蓝青松
600843,张敏
600844,王斌
600845,夏雪松
600846,王明忠
600847,莫天全
600848,袁国华
600850,--
600851,皮展
600853,田玉龙
600854,沈华平
600855,史燕中
600856,施清荣
600857,应飞军
600858,侯功海
600859,杜宝祥(代)
600860,王军
600861,王禄征
600862,李志强
600863,彭勇
600864,赵洪波
600865,陈夏鑫
600866,陈武
600867,冷春生
600868,张能勇
600869,蒋承志
600870,施亮
600871,刘中云
600872,陈琳
600873,王爱军
600874,刘玉军
600875,邹磊
600876,张冲
600877,周春林
600879,任德民
600880,母涛
600881,宋尚龙
600882,柴琇
600883,刘志波
600884,庄巍
600885,郭满金
600886,朱基伟
600887,潘刚
600888,孙健
600889,丁明国
600890,朱雷
600891,李亚
600892,周镇科
600893,陈少洋
600894,蔡瑞雄
600895,刘樱
600896,密春雷
600897,汪晓林
600898,宋林林
600900,雷鸣山
600901,熊先根
600903,洪鸣
600908,邵辉
600909,章宏韬
600917,王颂秋
600919,夏平
600926,陈震山
600928,郭军
600929,冯传良
600933,张建成
600936,谢向阳
600939,魏福生
600958,潘鑫军
600959,王国中
600960,陈宝
600961,黄忠民
600962,李俊喜
600963,黄欣
600965,李高生
600966,李刚
600967,李全文
600968,霍健
600969,范培顺
600970,宋寿顺
600971,袁兆杰
600973,杨泽元
600975,邱卫
600976,汪思洋
600977,焦宏奋
600978,刘壮超
600979,张久龙
600980,夏晓鸥
600981,张剑
600982,顾剑波
600983,吴胜波
600984,杨宏军
600985,孙方
