stock_id,leader_name
600050,姜爱华
600050,范云军
600050,李福申
600050,吴晓根
600050,周仁杰
600050,张建锋
600050,李国华
600050,吕廷杰
600050,廖建文
600050,卢山
600050,方向明
600050,梁宝俊
600050,买彦州
600050,冯士栋
600050,尹兆君
600050,陈建新
600050,朱可炳
600050,李翀
600050,邵广禄
600050,李国华
600051,李彩娥
600051,戴晓峻
600051,李梅
600051,董庆慈
600051,俞春萍
600051,李水荣
600051,周兆惠
600051,王维和
600051,沈伟
600051,王维和
600051,郑磊
600051,李金方
600051,郑晓东
600051,王彦梁
600052,张霞
600052,许国君
600052,邢力
600052,刘晓锋
600052,楼婷
600052,吴伟斌
600052,李勤
600052,胡卫庆
600052,李国珍
600052,张霞
600052,李学尧
600052,陈磊
600052,包宇芬
600052,叶曼桦
600052,赵敏
600052,祝继东
600053,王亮
600053,蔡蕾
600053,覃正宇
600053,谭龙龙
600053,向锐
600053,马思远
600053,古志鹏
600053,刘玉杰
600053,吴刚
600053,白斌
600053,吴强
600053,刘炜
600053,易凌杰
600053,黄晓捷
600053,康青山
600053,周春生
600054,陈俊
600054,焦朝华
600054,裴斌
600054,徐志毅
600054,孙峻
600054,章德辉
600054,卫超
600054,黄世稳
600054,陶平
600054,方卫东
600054,迟武
600054,赵晖
600054,汤石男
600054,高舜礼
600054,陶平
600054,孙峻
600054,丁维
600054,郭永清
600054,袁洪栋
600055,姚汶
600055,王金秋
600055,孙彤
600055,姚培英
600055,李坤成
600055,郑洪喆
600055,刘海晨
600055,高恩毅
600055,任志林
600055,吴群
600055,黄家祥
600055,田丰
600055,谢宇峰
600055,谢宇峰
600055,燕霞
600055,蒋达
600055,陈坚
600055,钟明霞
600055,燕霞
600055,姚焕然
600055,井晓权
600056,高渝文
600056,刘玮
600056,李箭
600056,王宏新
600056,康学敏
600056,李欣
600056,祝继高
600056,王晓良
600056,刘超
600056,侯文玲
600056,常芙蓉
600056,宋健敏
600056,徐明
600056,刘清源
600056,黄梅艳
600056,张天宇
600056,侯文玲
600056,强勇
600056,史录文
600056,王宏新
600057,廖杰
600057,肖静勤
600057,邓启东
600057,范承扬
600057,程益亮
600057,齐卫东
600057,沈维涛
600057,陆江
600057,王剑莉
600057,林俊杰
600057,吴捷
600057,邓启东
600057,齐卫东
600057,陈方
600057,沈艺峰
600057,廖益新
600057,曾仰峰
600057,张水利
600057,高晨霞
600057,张岳端
600057,张军田
600058,何小丽
600058,刘青春
600058,康承业
600058,张守文
600058,安力木
600058,闫立军
600058,王秀丽
600058,汤敏
600058,魏涛
600058,张进贤
600058,牛井坤
600058,王宏利
600058,骆伟
600058,朱江
600058,陈辉
600058,王振中
600058,张旭
600058,吴庆余
600059,徐岳正
600059,徐岳正
600059,沈国江
600059,徐城法
600059,刘剑
600059,毛健
600059,傅武翔
600059,刘红林
600059,钱肖华
600059,吴炜
600059,周娟英
600059,胡志明
600059,刘剑
600059,柏宏
600059,陈国林
600059,柏宏
600059,孟中法
600059,寿苗娟
600059,董勇久
600059,周娟英
600060,周子学
600060,刘坚
600060,高秀杰
600060,代慧忠
600060,于芝涛
600060,高玉玲
600060,吴海燕
600060,夏峰
600060,于芝涛
600060,陈彩霞
600060,林澜
600060,周厚健
600060,刘志远
600060,程开训
600061,李樱
600061,纪小龙
600061,陈永东
600061,叶柏寿
600061,李樱
600061,杨魁砚
600061,曲立新
600061,曲刚
600061,邹宝中
600061,王静玉
600061,张敏
600061,程丽
600061,张文雄
600061,周云福
600061,张杨
600061,葛毅
600061,姚肇欣
600062,葛智勇
600062,陆文超
600062,郭巍
600062,陶然
600062,文光伟
600062,韩朔
600062,邓荣辉
600062,于顺廷
600062,倪军
600062,Zheng Wei
600062,刘文涛
600062,范彦喜
600062,范彦喜
600062,刘俊海
600062,吴峻
600062,陈宏
600062,翁菁雯
600062,闫丽丽
600062,吴文多
600062,冯毅
600062,康彩练
600063,袁大兵
600063,张正和
600063,吴尚义
600063,余继轩
600063,孙先武
600063,高申保
600063,吴霖
600063,李明
600063,卢昌恒
600063,唐成宏
600063,张东华
600063,吴四海
600063,王松苗
600063,潘晓明
600063,方福前
600063,许宏平
600063,吴福胜
600063,汪莉
600063,汤晓红
600063,吴尚义
600063,张传明
600063,吴霖
600063,孙先武
600064,李太珍
600064,陆阳俊
600064,吕晨
600064,陆阳俊
600064,高波
600064,夏江
600064,高峰
600064,周克金
600064,冯巧根
600064,施飞
600064,周峻
600064,徐益民
600064,谢建晖
600064,张仕刚
600064,肖宝民
600066,杨波
600066,曹建伟
600066,李克强
600066,赵永
600066,王宁
600066,汤玉祥
600066,李春彦
600066,张复生
600066,戴领梅
600066,张义国
600066,张涛
600066,杨波
600066,王小飞
600066,张宝锋
600066,汤玉祥
600066,段海燕
600066,于莉
600066,于莉
600066,孙希顺
600067,李春
600067,韩孝捷
600067,刘华
600067,陈曦
600067,薛黎曦
600067,韩国建
600067,张生
600067,陈玲
600067,林湜
600067,韩孝煌
600067,肖林寿
600067,肖林寿
600067,何珠云
600067,刘华
600067,商建光
600067,吴清池
600067,陈宝清
600067,余坦锋
600067,韩孝捷
600068,郭成洲
600068,邓银启
600068,郭光文
600068,苏祥林
600068,连永久
600068,邹小川
600068,黄浩
600068,张志孝
600068,徐刚
600068,辛晓光
600068,刘灿学
600068,彭立权
600068,徐志国
600068,段秋荣
600068,何金钢
600068,翁英俊
600068,宋领
600068,原大康
600068,吴平安
600068,邹宗宪
600068,张大学
600068,宋玉才
600068,任建国
600068,李恩义
600068,陈刚
600068,龚祖春
600068,冯波
600068,王一淮
600068,陈晓华
600068,冯兴龙
600068,李新波
600069,王友贵
600069,栾天
600069,陈应楼
600069,孟灵魁
600069,刘汴生
600069,栾天
600069,冯冲
600069,赵海龙
600069,冯冲
600069,邢之恒
600069,董晖
600069,汪君
600069,陶雄华
600069,顾琦
600069,孟灵魁
600069,杨向阳
600069,胡志芳
600069,王友贵
600069,方福前
600070,何平
600070,江有归
600070,王坚
600070,徐航芳
600070,程惠芳
600070,骆丹君
600070,付海鹏
600070,蔡育清
600070,王坚
600070,陈黎伟
600070,傅国柱
600070,高静
600070,卢伯军
600070,赵林中
600070,傅国柱
600070,何四新
600070,付海鹏
600070,吴奇石
600070,赵海
600070,葛劲夫
600070,应叶华
600070,赏冠军
600071,缪建新
600071,刘泳玉
600071,刘翔
600071,王炜
600071,熊诗雄
600071,缪建新
600071,任国强
600071,郑礼春
600071,高波
600071,高波
600071,陈英
600071,史锋
600071,刘锐
600071,杨宁
600071,刘锐
600071,冯华君
600071,章威
600072,赵军
600072,王军
600072,施俊
600072,高康
600072,徐健
600072,黄来和
600072,巢序
600072,李煜前
600072,任开江
600072,周忠
600072,陈永弟
600072,周辉
600072,周辉
600072,金沂
600072,朱大弟
600072,沈樑
600072,杜惟毅
600072,陈映华
600073,吴通红
